St.no;Year;Mnth;Date;Time(NMT);TA
25110;2006;1;14;3;-0.4
25110;2006;1;14;4;-1.5
25110;2006;1;14;5;-1.7
25110;2006;1;14;6;-0.6
25110;2006;1;14;7;-0.1
25110;2006;1;14;8;-1.8
25110;2006;1;14;9;-3.2
25110;2006;1;14;10;-3.5
25110;2006;1;14;11;-3.1
25110;2006;1;14;12;-2.7
25110;2006;1;14;13;-1.9
25110;2006;1;14;14;-1.3
25110;2006;1;14;15;-1.2
25110;2006;1;14;16;-2.3
25110;2006;1;14;17;-3.6
25110;2006;1;14;18;-3.7
25110;2006;1;14;19;-3.7
25110;2006;1;14;20;-4.2
25110;2006;1;14;21;-4.1
25110;2006;1;14;22;-3.9
25110;2006;1;14;23;-3.5
25110;2006;1;14;24;-3.3
25110;2006;1;15;1;-3.1
25110;2006;1;15;2;-3.0
25110;2006;1;15;3;-2.8
25110;2006;1;15;4;-2.4
25110;2006;1;15;5;-2.1
25110;2006;1;15;6;-1.9
25110;2006;1;15;7;-1.6
25110;2006;1;15;8;-1.8
25110;2006;1;15;9;-1.8
25110;2006;1;15;10;-1.7
25110;2006;1;15;11;-1.0
25110;2006;1;15;12;-0.9
25110;2006;1;15;13;-0.7
25110;2006;1;15;14;0.4
25110;2006;1;15;15;-0.1
25110;2006;1;15;16;-0.6
25110;2006;1;15;17;-0.4
25110;2006;1;15;18;-1.4
25110;2006;1;15;19;-0.7
25110;2006;1;15;20;-0.7
25110;2006;1;15;21;-1.0
25110;2006;1;15;22;-0.9
25110;2006;1;15;23;-0.9
25110;2006;1;15;24;-0.8
25110;2006;1;16;1;-1.3
25110;2006;1;16;2;-2.6
25110;2006;1;16;3;-4.4
25110;2006;1;16;4;-5.9
25110;2006;1;16;5;-10.0
25110;2006;1;16;6;-11.4
25110;2006;1;16;7;-9.0
25110;2006;1;16;8;-8.1
25110;2006;1;16;9;-7.3
25110;2006;1;16;10;-6.6
25110;2006;1;16;11;-6.0
25110;2006;1;16;12;-4.8
25110;2006;1;16;13;-4.1
25110;2006;1;16;14;-4.2
25110;2006;1;16;15;-4.5
25110;2006;1;16;16;-4.5
25110;2006;1;16;17;-4.9
25110;2006;1;16;18;-5.3
25110;2006;1;16;19;-5.4
25110;2006;1;16;20;-5.6
25110;2006;1;16;21;-5.5
25110;2006;1;16;22;-5.7
25110;2006;1;16;23;-5.4
25110;2006;1;16;24;-5.0
25110;2006;1;17;1;-4.9
25110;2006;1;17;2;-4.7
25110;2006;1;17;3;-5.0
25110;2006;1;17;4;-4.2
25110;2006;1;17;5;-4.2
25110;2006;1;17;6;-3.9
25110;2006;1;17;7;-3.9
25110;2006;1;17;8;-3.8
25110;2006;1;17;9;-4.1
25110;2006;1;17;10;-4.9
25110;2006;1;17;11;-5.0
25110;2006;1;17;12;-5.3
25110;2006;1;17;13;-5.6
25110;2006;1;17;14;-6.0
25110;2006;1;17;15;-6.3
25110;2006;1;17;16;-5.8
25110;2006;1;17;17;-6.5
25110;2006;1;17;18;-6.3
25110;2006;1;17;19;-6.4
25110;2006;1;17;20;-6.4
25110;2006;1;17;21;-6.3
25110;2006;1;17;22;-7.1
25110;2006;1;17;23;-7.6
25110;2006;1;17;24;-7.7
25110;2006;1;18;1;-8.3
25110;2006;1;18;2;-8.5
25110;2006;1;18;3;-8.6
25110;2006;1;18;4;-8.6
25110;2006;1;18;5;-8.6
25110;2006;1;18;6;-8.6
25110;2006;1;18;7;-8.5
25110;2006;1;18;8;-8.4
25110;2006;1;18;9;-8.5
25110;2006;1;18;10;-8.3
25110;2006;1;18;11;-8.0
25110;2006;1;18;12;-7.4
25110;2006;1;18;13;-7.0
25110;2006;1;18;14;-7.1
25110;2006;1;18;15;-6.7
25110;2006;1;18;16;-6.9
25110;2006;1;18;17;-6.7
25110;2006;1;18;18;-6.3
25110;2006;1;18;19;-6.1
25110;2006;1;18;20;-6.2
25110;2006;1;18;21;-6.2
25110;2006;1;18;22;-6.3
25110;2006;1;18;23;-6.4
25110;2006;1;18;24;-6.2
25110;2006;1;19;1;-5.9
25110;2006;1;19;2;-5.8
25110;2006;1;19;3;-6.1
25110;2006;1;19;4;-6.3
25110;2006;1;19;5;-6.5
25110;2006;1;19;6;-6.6
25110;2006;1;19;7;-6.5
25110;2006;1;19;8;-7.0
25110;2006;1;19;9;-7.1
25110;2006;1;19;10;-7.5
25110;2006;1;19;11;-7.8
25110;2006;1;19;12;-7.6
25110;2006;1;19;13;-8.5
25110;2006;1;19;14;-7.8
25110;2006;1;19;15;-8.4
25110;2006;1;19;16;-8.9
25110;2006;1;19;17;-8.7
25110;2006;1;19;18;-8.5
25110;2006;1;19;19;-8.4
25110;2006;1;19;20;-8.7
25110;2006;1;19;21;-8.8
25110;2006;1;19;22;-9.0
25110;2006;1;19;23;-9.2
25110;2006;1;19;24;-9.1
25110;2006;1;20;1;-9.2
25110;2006;1;20;2;-9.2
25110;2006;1;20;3;-9.0
25110;2006;1;20;4;-9.1
25110;2006;1;20;5;-9.1
25110;2006;1;20;6;-9.3
25110;2006;1;20;7;-9.2
25110;2006;1;20;8;-9.4
25110;2006;1;20;9;-9.7
25110;2006;1;20;10;-9.8
25110;2006;1;20;11;-10.0
25110;2006;1;20;12;-9.9
