Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2011;1;15;9;7.1
76932;2011;1;15;10;7.1
76932;2011;1;15;11;7.1
76932;2011;1;15;12;7.1
76932;2011;1;15;13;7.1
76932;2011;1;15;14;7.1
76932;2011;1;15;15;7.1
76932;2011;1;15;16;7.0
76932;2011;1;15;17;7.0
76932;2011;1;15;18;7.0
76932;2011;1;15;19;7.0
76932;2011;1;15;20;7.0
76932;2011;1;15;21;7.0
76932;2011;1;15;22;7.0
76932;2011;1;15;23;7.0
76932;2011;1;15;24;7.0
76932;2011;1;16;1;7.0
76932;2011;1;16;2;7.0
76932;2011;1;16;3;7.0
76932;2011;1;16;4;7.0
76932;2011;1;16;5;7.0
76932;2011;1;16;6;7.0
76932;2011;1;16;7;7.0
76932;2011;1;16;8;7.0
76932;2011;1;16;9;7.0
76932;2011;1;16;10;7.0
76932;2011;1;16;11;7.0
76932;2011;1;16;12;7.0
76932;2011;1;16;13;7.0
76932;2011;1;16;14;7.0
76932;2011;1;16;15;7.0
76932;2011;1;16;16;7.0
76932;2011;1;16;17;7.0
76932;2011;1;16;18;7.0
76932;2011;1;16;19;7.0
76932;2011;1;16;20;7.0
76932;2011;1;16;21;7.0
76932;2011;1;16;22;7.0
76932;2011;1;16;23;7.0
76932;2011;1;16;24;7.0
76932;2011;1;17;1;7.1
76932;2011;1;17;2;7.0
76932;2011;1;17;3;7.0
76932;2011;1;17;4;7.0
76932;2011;1;17;5;7.0
76932;2011;1;17;6;7.1
76932;2011;1;17;7;7.0
76932;2011;1;17;8;7.0
76932;2011;1;17;9;7.0
76932;2011;1;17;10;7.0
76932;2011;1;17;11;7.0
76932;2011;1;17;12;7.0
76932;2011;1;17;13;7.0
76932;2011;1;17;14;7.0
76932;2011;1;17;15;7.0
76932;2011;1;17;16;7.0
76932;2011;1;17;17;7.1
76932;2011;1;17;18;7.0
76932;2011;1;17;19;7.0
76932;2011;1;17;20;7.1
76932;2011;1;17;21;7.1
76932;2011;1;17;22;7.0
76932;2011;1;17;23;7.0
76932;2011;1;17;24;7.0
76932;2011;1;18;1;7.0
76932;2011;1;18;2;7.0
76932;2011;1;18;3;7.0
76932;2011;1;18;4;7.0
76932;2011;1;18;5;7.0
76932;2011;1;18;6;7.0
76932;2011;1;18;7;7.0
76932;2011;1;18;8;7.0
76932;2011;1;18;9;7.0
76932;2011;1;18;10;7.0
76932;2011;1;18;11;7.0
76932;2011;1;18;12;7.0
76932;2011;1;18;13;6.9
76932;2011;1;18;14;6.9
76932;2011;1;18;15;6.9
76932;2011;1;18;16;6.9
76932;2011;1;18;17;6.9
76932;2011;1;18;18;6.9
76932;2011;1;18;19;6.9
76932;2011;1;18;20;6.9
76932;2011;1;18;21;6.9
76932;2011;1;18;22;6.9
76932;2011;1;18;23;6.9
76932;2011;1;18;24;6.9
76932;2011;1;19;1;6.9
76932;2011;1;19;2;6.9
76932;2011;1;19;3;6.9
76932;2011;1;19;4;6.9
76932;2011;1;19;5;6.9
76932;2011;1;19;6;6.9
76932;2011;1;19;7;6.9
76932;2011;1;19;8;6.9
76932;2011;1;19;9;6.9
76932;2011;1;19;10;6.9
76932;2011;1;19;11;6.9
76932;2011;1;19;12;6.9
76932;2011;1;19;13;6.9
76932;2011;1;19;14;6.9
76932;2011;1;19;15;6.9
76932;2011;1;19;16;6.9
76932;2011;1;19;17;6.9
76932;2011;1;19;18;6.9
76932;2011;1;19;19;6.9
76932;2011;1;19;20;6.9
76932;2011;1;19;21;6.9
76932;2011;1;19;22;6.9
76932;2011;1;19;23;6.9
76932;2011;1;19;24;6.9
76932;2011;1;20;1;6.9
76932;2011;1;20;2;6.9
76932;2011;1;20;3;6.9
76932;2011;1;20;4;6.9
76932;2011;1;20;5;6.9
76932;2011;1;20;6;6.9
76932;2011;1;20;7;6.9
76932;2011;1;20;8;6.9
76932;2011;1;20;9;6.9
76932;2011;1;20;10;6.9
76932;2011;1;20;11;6.9
76932;2011;1;20;12;6.9
76932;2011;1;20;13;6.9
76932;2011;1;20;14;6.9
76932;2011;1;20;15;6.9
76932;2011;1;20;16;6.9
76932;2011;1;20;17;6.9
76932;2011;1;20;18;6.9
76932;2011;1;20;19;6.9
76932;2011;1;20;20;6.9
76932;2011;1;20;21;6.9
76932;2011;1;20;22;6.9
76932;2011;1;20;23;6.9
76932;2011;1;20;24;6.9
76932;2011;1;21;1;6.9
76932;2011;1;21;2;7.0
76932;2011;1;21;3;7.0
76932;2011;1;21;4;6.9
76932;2011;1;21;5;7.0
76932;2011;1;21;6;7.0
76932;2011;1;21;7;7.0
76932;2011;1;21;8;7.0
76932;2011;1;21;9;7.0
76932;2011;1;21;10;7.0
76932;2011;1;21;11;7.0
76932;2011;1;21;12;7.0
76932;2011;1;21;13;7.0
76932;2011;1;21;14;7.0
76932;2011;1;21;15;7.0
76932;2011;1;21;16;6.9
