Stnr;År;Mnd;Dag;Time(NMT);TA
68860;2015;2;11;10;6.6
68860;2015;2;11;11;7.3
68860;2015;2;11;12;7.4
68860;2015;2;11;13;8.4
68860;2015;2;11;14;7.9
68860;2015;2;11;15;7.9
68860;2015;2;11;16;7.3
68860;2015;2;11;17;6.4
68860;2015;2;11;18;4.4
68860;2015;2;11;19;5.1
68860;2015;2;11;20;5.5
68860;2015;2;11;21;2.2
68860;2015;2;11;22;4.7
68860;2015;2;11;23;4.2
68860;2015;2;11;24;4.8
68860;2015;2;12;1;4.7
68860;2015;2;12;2;5.3
68860;2015;2;12;3;5.2
68860;2015;2;12;4;4.6
68860;2015;2;12;5;2.0
68860;2015;2;12;6;1.4
68860;2015;2;12;7;0.8
68860;2015;2;12;8;0.3
68860;2015;2;12;9;-0.4
68860;2015;2;12;10;-0.2
68860;2015;2;12;11;-0.1
68860;2015;2;12;12;0.4
68860;2015;2;12;13;0.6
68860;2015;2;12;14;0.6
68860;2015;2;12;15;0.7
68860;2015;2;12;16;0.5
68860;2015;2;12;17;0.0
68860;2015;2;12;18;-0.8
68860;2015;2;12;19;-0.7
68860;2015;2;12;20;-2.4
68860;2015;2;12;21;-3.2
68860;2015;2;12;22;-4.2
68860;2015;2;12;23;-4.7
68860;2015;2;12;24;-4.0
68860;2015;2;13;1;-4.7
68860;2015;2;13;2;-3.0
68860;2015;2;13;3;-4.2
68860;2015;2;13;4;-3.3
68860;2015;2;13;5;-2.0
68860;2015;2;13;6;-2.2
68860;2015;2;13;7;-2.4
68860;2015;2;13;8;-2.4
68860;2015;2;13;9;-2.0
68860;2015;2;13;10;-1.8
68860;2015;2;13;11;-1.5
68860;2015;2;13;12;-0.5
68860;2015;2;13;13;-0.8
68860;2015;2;13;14;-0.4
68860;2015;2;13;15;-0.4
68860;2015;2;13;16;-0.6
68860;2015;2;13;17;-0.6
68860;2015;2;13;18;-0.6
68860;2015;2;13;19;-0.9
68860;2015;2;13;20;-1.0
68860;2015;2;13;21;-0.7
68860;2015;2;13;22;-0.7
68860;2015;2;13;23;-0.8
68860;2015;2;13;24;-0.9
68860;2015;2;14;1;-1.2
68860;2015;2;14;2;-1.1
68860;2015;2;14;3;-0.9
68860;2015;2;14;4;-1.1
68860;2015;2;14;5;-1.5
68860;2015;2;14;6;-1.4
68860;2015;2;14;7;-1.4
68860;2015;2;14;8;-1.4
68860;2015;2;14;9;-1.3
68860;2015;2;14;10;-1.2
68860;2015;2;14;11;-0.6
68860;2015;2;14;12;-0.9
68860;2015;2;14;13;-0.4
68860;2015;2;14;14;-1.2
68860;2015;2;14;15;-0.7
68860;2015;2;14;16;-0.9
68860;2015;2;14;17;-1.0
68860;2015;2;14;18;-1.9
68860;2015;2;14;19;-3.1
68860;2015;2;14;20;-2.5
68860;2015;2;14;21;-2.7
68860;2015;2;14;22;0.3
68860;2015;2;14;23;-1.0
68860;2015;2;14;24;0.3
68860;2015;2;15;1;-1.0
68860;2015;2;15;2;0.0
68860;2015;2;15;3;2.4
68860;2015;2;15;4;2.4
68860;2015;2;15;5;2.4
68860;2015;2;15;6;1.8
68860;2015;2;15;7;1.7
68860;2015;2;15;8;1.7
68860;2015;2;15;9;1.7
68860;2015;2;15;10;1.7
68860;2015;2;15;11;2.3
68860;2015;2;15;12;2.8
68860;2015;2;15;13;3.1
68860;2015;2;15;14;3.1
68860;2015;2;15;15;2.5
68860;2015;2;15;16;1.9
68860;2015;2;15;17;1.4
68860;2015;2;15;18;1.6
68860;2015;2;15;19;2.0
68860;2015;2;15;20;2.1
68860;2015;2;15;21;1.9
68860;2015;2;15;22;1.4
68860;2015;2;15;23;1.2
68860;2015;2;15;24;1.1
68860;2015;2;16;1;1.1
68860;2015;2;16;2;0.5
68860;2015;2;16;3;0.4
68860;2015;2;16;4;0.1
68860;2015;2;16;5;0.0
68860;2015;2;16;6;0.0
68860;2015;2;16;7;-0.2
68860;2015;2;16;8;-0.5
68860;2015;2;16;9;-0.1
68860;2015;2;16;10;0.5
68860;2015;2;16;11;1.6
68860;2015;2;16;12;2.0
68860;2015;2;16;13;2.8
68860;2015;2;16;14;3.3
68860;2015;2;16;15;3.6
68860;2015;2;16;16;2.9
68860;2015;2;16;17;2.0
68860;2015;2;16;18;1.3
68860;2015;2;16;19;1.0
68860;2015;2;16;20;0.8
68860;2015;2;16;21;0.8
68860;2015;2;16;22;0.9
68860;2015;2;16;23;1.5
68860;2015;2;16;24;1.7
68860;2015;2;17;1;1.6
68860;2015;2;17;2;1.8
68860;2015;2;17;3;2.1
68860;2015;2;17;4;2.0
68860;2015;2;17;5;2.2
68860;2015;2;17;6;2.4
68860;2015;2;17;7;2.6
68860;2015;2;17;8;2.8
68860;2015;2;17;9;2.8
68860;2015;2;17;10;3.1
68860;2015;2;17;11;3.8
68860;2015;2;17;12;4.9
68860;2015;2;17;13;5.0
68860;2015;2;17;14;5.8
68860;2015;2;17;15;5.9
68860;2015;2;17;16;4.7
68860;2015;2;17;17;1.7
68860;2015;2;17;18;0.1
68860;2015;2;17;19;0.2
68860;2015;2;17;20;0.0
68860;2015;2;17;21;0.0
68860;2015;2;17;22;0.3
68860;2015;2;17;23;-0.2
68860;2015;2;17;24;-0.4
68860;2015;2;18;1;0.6
68860;2015;2;18;2;0.3
68860;2015;2;18;3;-0.3
68860;2015;2;18;4;0.2
68860;2015;2;18;5;0.5
68860;2015;2;18;6;0.5
68860;2015;2;18;7;0.1
68860;2015;2;18;8;0.2
68860;2015;2;18;9;0.3
68860;2015;2;18;10;0.6
68860;2015;2;18;11;0.8
68860;2015;2;18;12;1.5
68860;2015;2;18;13;1.2
68860;2015;2;18;14;1.3
68860;2015;2;18;15;1.0
68860;2015;2;18;16;0.8
68860;2015;2;18;17;1.8
68860;2015;2;18;18;3.5
68860;2015;2;18;19;5.7
68860;2015;2;18;20;6.7
68860;2015;2;18;21;7.7
68860;2015;2;18;22;6.3
68860;2015;2;18;23;4.5
68860;2015;2;18;24;3.9
68860;2015;2;19;1;3.9
68860;2015;2;19;2;4.5
68860;2015;2;19;3;4.2
68860;2015;2;19;4;4.5
68860;2015;2;19;5;7.3
68860;2015;2;19;6;5.2
68860;2015;2;19;7;4.7
68860;2015;2;19;8;5.0
68860;2015;2;19;9;5.3
68860;2015;2;19;10;4.6
68860;2015;2;19;11;6.5
68860;2015;2;19;12;8.5
68860;2015;2;19;13;9.2
68860;2015;2;19;14;9.7
68860;2015;2;19;15;8.6
68860;2015;2;19;16;8.1
68860;2015;2;19;17;7.0
68860;2015;2;19;18;6.7
68860;2015;2;19;19;5.0
68860;2015;2;19;20;5.2
68860;2015;2;19;21;4.8
68860;2015;2;19;22;3.3
68860;2015;2;19;23;3.4
68860;2015;2;19;24;2.7
68860;2015;2;20;1;1.9
68860;2015;2;20;2;2.8
68860;2015;2;20;3;2.0
68860;2015;2;20;4;0.2
68860;2015;2;20;5;0.2
68860;2015;2;20;6;1.1
68860;2015;2;20;7;1.6
68860;2015;2;20;8;1.1
68860;2015;2;20;9;1.8
68860;2015;2;20;10;2.3
68860;2015;2;20;11;4.0
68860;2015;2;20;12;4.7
68860;2015;2;20;13;5.9
68860;2015;2;20;14;5.9
68860;2015;2;20;15;5.0
68860;2015;2;20;16;5.5
68860;2015;2;20;17;4.7
68860;2015;2;20;18;4.2
68860;2015;2;20;19;3.9
68860;2015;2;20;20;2.4
68860;2015;2;20;21;1.9
68860;2015;2;20;22;2.3
68860;2015;2;20;23;1.0
68860;2015;2;20;24;1.8
68860;2015;2;21;1;0.9
68860;2015;2;21;2;1.7
68860;2015;2;21;3;1.5
68860;2015;2;21;4;0.9
68860;2015;2;21;5;0.5
68860;2015;2;21;6;0.8
68860;2015;2;21;7;0.7
68860;2015;2;21;8;0.9
68860;2015;2;21;9;2.6
68860;2015;2;21;10;2.5
68860;2015;2;21;11;3.8
68860;2015;2;21;12;4.7
68860;2015;2;21;13;5.9
68860;2015;2;21;14;6.2
68860;2015;2;21;15;5.6
68860;2015;2;21;16;4.7
68860;2015;2;21;17;1.7
68860;2015;2;21;18;0.8
68860;2015;2;21;19;0.8
68860;2015;2;21;20;1.1
68860;2015;2;21;21;0.7
68860;2015;2;21;22;0.8
68860;2015;2;21;23;0.9
68860;2015;2;21;24;0.7
68860;2015;2;22;1;0.4
68860;2015;2;22;2;0.1
68860;2015;2;22;3;0.4
68860;2015;2;22;4;0.5
68860;2015;2;22;5;0.0
68860;2015;2;22;6;0.0
68860;2015;2;22;7;0.1
68860;2015;2;22;8;-0.3
68860;2015;2;22;9;-0.6
68860;2015;2;22;10;0.0
68860;2015;2;22;11;0.4
68860;2015;2;22;12;0.5
68860;2015;2;22;13;1.4
68860;2015;2;22;14;1.5
68860;2015;2;22;15;1.3
68860;2015;2;22;16;0.9
68860;2015;2;22;17;-0.2
68860;2015;2;22;18;-0.1
68860;2015;2;22;19;-0.4
68860;2015;2;22;20;-0.6
68860;2015;2;22;21;-0.5
68860;2015;2;22;22;-1.3
68860;2015;2;22;23;-1.5
68860;2015;2;22;24;-2.2
68860;2015;2;23;1;-1.9
68860;2015;2;23;2;-1.9
68860;2015;2;23;3;-1.2
68860;2015;2;23;4;-0.5
68860;2015;2;23;5;-0.6
68860;2015;2;23;6;0.8
68860;2015;2;23;7;1.5
68860;2015;2;23;8;2.4
68860;2015;2;23;9;2.8
68860;2015;2;23;10;3.2
68860;2015;2;23;11;3.6
68860;2015;2;23;12;4.1
68860;2015;2;23;13;4.5
68860;2015;2;23;14;4.2
68860;2015;2;23;15;4.3
68860;2015;2;23;16;4.6
68860;2015;2;23;17;4.1
68860;2015;2;23;18;3.6
68860;2015;2;23;19;3.8
68860;2015;2;23;20;3.7
68860;2015;2;23;21;3.2
68860;2015;2;23;22;2.8
68860;2015;2;23;23;3.4
68860;2015;2;23;24;3.2
68860;2015;2;24;1;3.0
68860;2015;2;24;2;2.7
68860;2015;2;24;3;3.0
68860;2015;2;24;4;3.2
68860;2015;2;24;5;2.6
68860;2015;2;24;6;2.8
68860;2015;2;24;7;2.6
68860;2015;2;24;8;2.6
68860;2015;2;24;9;2.8
68860;2015;2;24;10;3.4
68860;2015;2;24;11;4.5
68860;2015;2;24;12;5.0
68860;2015;2;24;13;5.5
68860;2015;2;24;14;5.6
68860;2015;2;24;15;5.7
68860;2015;2;24;16;5.7
68860;2015;2;24;17;4.6
68860;2015;2;24;18;4.0
68860;2015;2;24;19;3.8
68860;2015;2;24;20;3.9
68860;2015;2;24;21;3.7
68860;2015;2;24;22;3.7
68860;2015;2;24;23;3.7
68860;2015;2;24;24;3.6
68860;2015;2;25;1;3.6
68860;2015;2;25;2;3.6
68860;2015;2;25;3;3.5
68860;2015;2;25;4;2.6
68860;2015;2;25;5;3.1
68860;2015;2;25;6;2.9
68860;2015;2;25;7;3.2
68860;2015;2;25;8;3.6
68860;2015;2;25;9;3.3
68860;2015;2;25;10;4.0
68860;2015;2;25;11;5.2
68860;2015;2;25;12;6.6
68860;2015;2;25;13;5.5
68860;2015;2;25;14;4.9
68860;2015;2;25;15;5.9
68860;2015;2;25;16;4.7
68860;2015;2;25;17;2.6
68860;2015;2;25;18;2.7
68860;2015;2;25;19;3.0
68860;2015;2;25;20;2.9
68860;2015;2;25;21;3.2
68860;2015;2;25;22;3.0
68860;2015;2;25;23;1.7
68860;2015;2;25;24;-0.4
68860;2015;2;26;1;-0.5
68860;2015;2;26;2;-0.3
68860;2015;2;26;3;-0.5
68860;2015;2;26;4;-0.3
68860;2015;2;26;5;0.3
68860;2015;2;26;6;2.8
68860;2015;2;26;7;2.9
68860;2015;2;26;8;4.1
68860;2015;2;26;9;4.5
68860;2015;2;26;10;2.1
68860;2015;2;26;11;1.1
68860;2015;2;26;12;2.2
68860;2015;2;26;13;3.5
68860;2015;2;26;14;4.1
68860;2015;2;26;15;4.6
68860;2015;2;26;16;4.7
68860;2015;2;26;17;5.0
68860;2015;2;26;18;5.0
68860;2015;2;26;19;5.1
68860;2015;2;26;20;4.9
68860;2015;2;26;21;5.0
68860;2015;2;26;22;5.1
68860;2015;2;26;23;5.2
68860;2015;2;26;24;5.1
68860;2015;2;27;1;5.0
68860;2015;2;27;2;5.0
68860;2015;2;27;3;5.1
68860;2015;2;27;4;4.8
68860;2015;2;27;5;4.9
68860;2015;2;27;6;5.0
68860;2015;2;27;7;5.3
68860;2015;2;27;8;5.1
68860;2015;2;27;9;4.9
68860;2015;2;27;10;5.4
68860;2015;2;27;11;6.1
68860;2015;2;27;12;6.5
68860;2015;2;27;13;6.9
68860;2015;2;27;14;7.4
68860;2015;2;27;15;7.4
68860;2015;2;27;16;7.1
68860;2015;2;27;17;6.3
68860;2015;2;27;18;5.6
68860;2015;2;27;19;5.3
68860;2015;2;27;20;5.7
68860;2015;2;27;21;5.3
68860;2015;2;27;22;5.3
68860;2015;2;27;23;5.1
68860;2015;2;27;24;5.1
68860;2015;2;28;1;5.2
68860;2015;2;28;2;4.9
68860;2015;2;28;3;4.6
68860;2015;2;28;4;4.8
68860;2015;2;28;5;5.3
68860;2015;2;28;6;3.5
68860;2015;2;28;7;2.9
68860;2015;2;28;8;2.8
68860;2015;2;28;9;4.1
68860;2015;2;28;10;4.7
68860;2015;2;28;11;5.1
68860;2015;2;28;12;4.2
68860;2015;2;28;13;4.7
68860;2015;2;28;14;5.1
68860;2015;2;28;15;5.3
68860;2015;2;28;16;5.3
68860;2015;2;28;17;5.3
68860;2015;2;28;18;5.4
68860;2015;2;28;19;5.4
68860;2015;2;28;20;5.4
68860;2015;2;28;21;5.3
68860;2015;2;28;22;5.7
68860;2015;2;28;23;5.6
68860;2015;2;28;24;5.9
