St.no;Year;Mnth;Date;Time(NMT);TA
68860;2009;1;11;19;3.9
68860;2009;1;11;20;3.7
68860;2009;1;11;21;3.1
68860;2009;1;11;22;3.4
68860;2009;1;11;23;5.3
68860;2009;1;11;24;3.9
68860;2009;1;12;1;6.2
68860;2009;1;12;2;5.0
68860;2009;1;12;3;7.3
68860;2009;1;12;4;7.6
68860;2009;1;12;5;6.0
68860;2009;1;12;6;6.8
68860;2009;1;12;7;7.8
68860;2009;1;12;8;7.7
68860;2009;1;12;9;5.5
68860;2009;1;12;10;4.5
68860;2009;1;12;11;4.9
68860;2009;1;12;12;6.5
68860;2009;1;12;13;7.7
68860;2009;1;12;14;7.4
68860;2009;1;12;15;7.6
68860;2009;1;12;16;6.6
68860;2009;1;12;17;5.4
68860;2009;1;12;18;6.3
68860;2009;1;12;19;6.2
68860;2009;1;12;20;5.2
68860;2009;1;12;21;5.4
68860;2009;1;12;22;5.1
68860;2009;1;12;23;5.2
68860;2009;1;12;24;5.0
68860;2009;1;13;1;4.9
68860;2009;1;13;2;5.4
68860;2009;1;13;3;5.5
68860;2009;1;13;4;5.4
68860;2009;1;13;5;4.5
68860;2009;1;13;6;5.3
68860;2009;1;13;7;3.1
68860;2009;1;13;8;2.8
68860;2009;1;13;9;2.6
68860;2009;1;13;10;3.0
68860;2009;1;13;11;3.4
68860;2009;1;13;12;2.6
68860;2009;1;13;13;2.7
68860;2009;1;13;14;2.0
68860;2009;1;13;15;2.5
68860;2009;1;13;16;4.3
68860;2009;1;13;17;5.1
68860;2009;1;13;18;2.7
68860;2009;1;13;19;4.5
68860;2009;1;13;20;4.0
68860;2009;1;13;21;4.9
68860;2009;1;13;22;2.2
68860;2009;1;13;23;2.1
68860;2009;1;13;24;2.3
68860;2009;1;14;1;1.3
68860;2009;1;14;2;0.5
68860;2009;1;14;3;0.0
68860;2009;1;14;4;-0.4
68860;2009;1;14;5;-0.8
68860;2009;1;14;6;-1.0
68860;2009;1;14;7;-0.8
68860;2009;1;14;8;-0.7
68860;2009;1;14;9;-0.9
68860;2009;1;14;10;-1.0
68860;2009;1;14;11;-1.1
68860;2009;1;14;12;-1.3
68860;2009;1;14;13;-1.7
68860;2009;1;14;14;-2.6
68860;2009;1;14;15;-3.1
68860;2009;1;14;16;-3.7
68860;2009;1;14;17;-4.2
68860;2009;1;14;18;-4.0
68860;2009;1;14;19;-4.7
68860;2009;1;14;20;-6.7
68860;2009;1;14;21;-6.7
68860;2009;1;14;22;-7.8
68860;2009;1;14;23;-8.9
68860;2009;1;14;24;-8.2
68860;2009;1;15;1;-8.7
68860;2009;1;15;2;-9.5
68860;2009;1;15;3;-10.8
68860;2009;1;15;4;-11.1
68860;2009;1;15;5;-12.1
68860;2009;1;15;6;-12.1
68860;2009;1;15;7;-11.1
68860;2009;1;15;8;-11.7
68860;2009;1;15;9;-11.5
68860;2009;1;15;10;-13.2
68860;2009;1;15;11;-13.0
68860;2009;1;15;12;-12.7
68860;2009;1;15;13;-12.0
68860;2009;1;15;14;-11.1
68860;2009;1;15;15;-11.8
68860;2009;1;15;16;-10.3
68860;2009;1;15;17;-8.4
68860;2009;1;15;18;-8.2
68860;2009;1;15;19;-8.0
68860;2009;1;15;20;-8.3
68860;2009;1;15;21;-7.5
68860;2009;1;15;22;-7.6
68860;2009;1;15;23;-8.6
68860;2009;1;15;24;-7.4
68860;2009;1;16;1;-6.4
68860;2009;1;16;2;-7.7
68860;2009;1;16;3;-5.0
68860;2009;1;16;4;-4.0
68860;2009;1;16;5;-3.8
68860;2009;1;16;6;-3.1
68860;2009;1;16;7;-2.9
68860;2009;1;16;8;-2.2
68860;2009;1;16;9;-1.9
68860;2009;1;16;10;-2.0
68860;2009;1;16;11;-1.8
68860;2009;1;16;12;-1.6
68860;2009;1;16;13;-1.4
68860;2009;1;16;14;-1.0
68860;2009;1;16;15;-0.7
68860;2009;1;16;16;-0.2
68860;2009;1;16;17;0.1
68860;2009;1;16;18;0.0
68860;2009;1;16;19;-0.1
68860;2009;1;16;20;-0.7
68860;2009;1;16;21;-1.1
68860;2009;1;16;22;-0.5
68860;2009;1;16;23;-0.3
68860;2009;1;16;24;-0.2
68860;2009;1;17;1;-0.1
68860;2009;1;17;2;0.0
68860;2009;1;17;3;-0.8
68860;2009;1;17;4;-1.3
68860;2009;1;17;5;-1.1
68860;2009;1;17;6;-0.7
68860;2009;1;17;7;-0.5
68860;2009;1;17;8;-0.2
68860;2009;1;17;9;-0.2
68860;2009;1;17;10;0.3
68860;2009;1;17;11;0.7
68860;2009;1;17;12;0.0
68860;2009;1;17;13;1.1
68860;2009;1;17;14;1.7
68860;2009;1;17;15;1.4
68860;2009;1;17;16;1.5
68860;2009;1;17;17;1.1
68860;2009;1;17;18;1.1
68860;2009;1;17;19;1.3
68860;2009;1;17;20;1.2
68860;2009;1;17;21;0.7
68860;2009;1;17;22;0.3
68860;2009;1;17;23;0.6
68860;2009;1;17;24;-0.1
68860;2009;1;18;1;-0.2
68860;2009;1;18;2;-0.6
68860;2009;1;18;3;-0.6
68860;2009;1;18;4;-1.3
68860;2009;1;18;5;-1.1
68860;2009;1;18;6;-0.6
68860;2009;1;18;7;-1.4
68860;2009;1;18;8;-1.5
68860;2009;1;18;9;-1.3
68860;2009;1;18;10;-1.8
68860;2009;1;18;11;-1.6
68860;2009;1;18;12;-1.8
68860;2009;1;18;13;-0.9
68860;2009;1;18;14;-0.9
68860;2009;1;18;15;-0.5
68860;2009;1;18;16;-0.5
68860;2009;1;18;17;-1.2
68860;2009;1;18;18;-1.1
68860;2009;1;18;19;-0.8
68860;2009;1;18;20;-0.2
68860;2009;1;18;21;-0.3
68860;2009;1;18;22;0.4
68860;2009;1;18;23;0.2
68860;2009;1;18;24;0.1
68860;2009;1;19;1;0.5
68860;2009;1;19;2;0.6
68860;2009;1;19;3;0.5
68860;2009;1;19;4;0.3
68860;2009;1;19;5;-0.3
68860;2009;1;19;6;-0.2
68860;2009;1;19;7;0.0
68860;2009;1;19;8;0.3
68860;2009;1;19;9;1.1
68860;2009;1;19;10;0.7
68860;2009;1;19;11;0.4
68860;2009;1;19;12;0.6
68860;2009;1;19;13;0.9
68860;2009;1;19;14;0.8
68860;2009;1;19;15;0.8
68860;2009;1;19;16;1.0
68860;2009;1;19;17;0.7
68860;2009;1;19;18;0.3
68860;2009;1;19;19;0.6
68860;2009;1;19;20;0.2
68860;2009;1;19;21;-0.3
68860;2009;1;19;22;-0.2
68860;2009;1;19;23;0.6
68860;2009;1;19;24;0.7
68860;2009;1;20;1;0.6
68860;2009;1;20;2;0.3
68860;2009;1;20;3;0.3
68860;2009;1;20;4;0.6
68860;2009;1;20;5;0.8
68860;2009;1;20;6;0.6
68860;2009;1;20;7;0.6
68860;2009;1;20;8;0.9
68860;2009;1;20;9;0.8
68860;2009;1;20;10;1.0
68860;2009;1;20;11;1.5
68860;2009;1;20;12;1.9
68860;2009;1;20;13;2.1
68860;2009;1;20;14;2.7
68860;2009;1;20;15;2.8
68860;2009;1;20;16;2.4
68860;2009;1;20;17;2.7
68860;2009;1;20;18;2.6
68860;2009;1;20;19;2.0
68860;2009;1;20;20;3.0
68860;2009;1;20;21;3.0
68860;2009;1;20;22;3.5
68860;2009;1;20;23;3.2
68860;2009;1;20;24;3.2
68860;2009;1;21;1;3.5
68860;2009;1;21;2;3.3
68860;2009;1;21;3;3.2
68860;2009;1;21;4;3.0
68860;2009;1;21;5;3.6
68860;2009;1;21;6;3.9
68860;2009;1;21;7;4.1
68860;2009;1;21;8;4.6
68860;2009;1;21;9;4.6
68860;2009;1;21;10;4.5
68860;2009;1;21;11;4.5
68860;2009;1;21;12;4.6
68860;2009;1;21;13;4.3
68860;2009;1;21;14;4.2
68860;2009;1;21;15;4.1
68860;2009;1;21;16;4.1
68860;2009;1;21;17;4.7
68860;2009;1;21;18;5.1
68860;2009;1;21;19;4.9
68860;2009;1;21;20;5.4
68860;2009;1;21;21;5.0
68860;2009;1;21;22;5.5
68860;2009;1;21;23;5.0
68860;2009;1;21;24;4.3
68860;2009;1;22;1;4.9
68860;2009;1;22;2;4.5
68860;2009;1;22;3;5.1
68860;2009;1;22;4;5.1
68860;2009;1;22;5;4.6
68860;2009;1;22;6;1.9
68860;2009;1;22;7;1.0
68860;2009;1;22;8;1.6
68860;2009;1;22;9;2.7
68860;2009;1;22;10;2.3
68860;2009;1;22;11;2.2
68860;2009;1;22;12;3.6
68860;2009;1;22;13;4.2
68860;2009;1;22;14;4.2
68860;2009;1;22;15;3.7
68860;2009;1;22;16;3.1
68860;2009;1;22;17;2.4
68860;2009;1;22;18;2.6
68860;2009;1;22;19;2.6
68860;2009;1;22;20;2.6
68860;2009;1;22;21;2.3
68860;2009;1;22;22;1.8
68860;2009;1;22;23;1.7
68860;2009;1;22;24;1.8
68860;2009;1;23;1;1.8
68860;2009;1;23;2;1.9
68860;2009;1;23;3;1.7
68860;2009;1;23;4;1.6
68860;2009;1;23;5;1.3
68860;2009;1;23;6;1.3
68860;2009;1;23;7;1.1
68860;2009;1;23;8;1.1
68860;2009;1;23;9;0.7
68860;2009;1;23;10;0.8
68860;2009;1;23;11;0.8
68860;2009;1;23;12;1.3
68860;2009;1;23;13;1.3
68860;2009;1;23;14;0.9
68860;2009;1;23;15;0.8
68860;2009;1;23;16;0.9
68860;2009;1;23;17;0.9
68860;2009;1;23;18;0.8
68860;2009;1;23;19;0.9
68860;2009;1;23;20;1.2
68860;2009;1;23;21;1.6
68860;2009;1;23;22;2.1
68860;2009;1;23;23;2.0
68860;2009;1;23;24;1.9
68860;2009;1;24;1;1.8
68860;2009;1;24;2;1.8
68860;2009;1;24;3;1.9
68860;2009;1;24;4;2.3
68860;2009;1;24;5;2.1
68860;2009;1;24;6;2.0
68860;2009;1;24;7;1.8
68860;2009;1;24;8;1.8
68860;2009;1;24;9;1.7
68860;2009;1;24;10;1.5
68860;2009;1;24;11;1.2
68860;2009;1;24;12;1.2
68860;2009;1;24;13;1.6
68860;2009;1;24;14;1.9
68860;2009;1;24;15;1.3
68860;2009;1;24;16;1.8
68860;2009;1;24;17;1.5
68860;2009;1;24;18;1.5
68860;2009;1;24;19;0.9
68860;2009;1;24;20;0.6
68860;2009;1;24;21;0.4
68860;2009;1;24;22;0.3
68860;2009;1;24;23;0.0
68860;2009;1;24;24;0.0
68860;2009;1;25;1;-0.1
68860;2009;1;25;2;-0.2
68860;2009;1;25;3;0.1
68860;2009;1;25;4;0.2
68860;2009;1;25;5;0.1
68860;2009;1;25;6;0.0
68860;2009;1;25;7;-0.2
68860;2009;1;25;8;-0.2
68860;2009;1;25;9;-0.1
68860;2009;1;25;10;-0.2
68860;2009;1;25;11;0.3
68860;2009;1;25;12;0.1
68860;2009;1;25;13;0.5
68860;2009;1;25;14;0.6
68860;2009;1;25;15;0.5
68860;2009;1;25;16;0.7
68860;2009;1;25;17;0.2
68860;2009;1;25;18;-0.3
68860;2009;1;25;19;-0.9
68860;2009;1;25;20;0.2
68860;2009;1;25;21;-1.1
68860;2009;1;25;22;-2.0
68860;2009;1;25;23;-1.6
68860;2009;1;25;24;-1.8
68860;2009;1;26;1;-1.1
68860;2009;1;26;2;-1.3
68860;2009;1;26;3;-1.5
68860;2009;1;26;4;-0.7
68860;2009;1;26;5;-1.8
68860;2009;1;26;6;-3.0
68860;2009;1;26;7;-1.9
68860;2009;1;26;8;-1.5
68860;2009;1;26;9;-3.0
68860;2009;1;26;10;-1.9
68860;2009;1;26;11;-3.2
68860;2009;1;26;12;-1.9
68860;2009;1;26;13;-0.6
68860;2009;1;26;14;0.7
68860;2009;1;26;15;-0.8
68860;2009;1;26;16;-2.8
68860;2009;1;26;17;-1.8
68860;2009;1;26;18;-4.5
68860;2009;1;26;19;-2.4
68860;2009;1;26;20;-3.4
68860;2009;1;26;21;-4.3
68860;2009;1;26;22;-4.1
68860;2009;1;26;23;-3.7
68860;2009;1;26;24;-3.7
68860;2009;1;27;1;-4.3
68860;2009;1;27;2;-4.5
68860;2009;1;27;3;-5.3
68860;2009;1;27;4;-4.7
68860;2009;1;27;5;-5.8
68860;2009;1;27;6;-4.5
68860;2009;1;27;7;-5.1
68860;2009;1;27;8;-5.5
68860;2009;1;27;9;-7.0
68860;2009;1;27;10;-6.8
68860;2009;1;27;11;-6.7
68860;2009;1;27;12;-5.6
68860;2009;1;27;13;-4.0
68860;2009;1;27;14;-3.9
68860;2009;1;27;15;-3.4
68860;2009;1;27;16;-5.3
68860;2009;1;27;17;-5.1
68860;2009;1;27;18;-5.5
68860;2009;1;27;19;-4.9
68860;2009;1;27;20;-4.3
68860;2009;1;27;21;-5.5
68860;2009;1;27;22;-6.2
68860;2009;1;27;23;-5.8
68860;2009;1;27;24;-5.8
68860;2009;1;28;1;-6.0
68860;2009;1;28;2;-5.7
68860;2009;1;28;3;-5.1
68860;2009;1;28;4;-4.7
68860;2009;1;28;5;-5.0
68860;2009;1;28;6;-4.8
68860;2009;1;28;7;-4.7
68860;2009;1;28;8;-4.4
68860;2009;1;28;9;-4.1
68860;2009;1;28;10;-3.8
68860;2009;1;28;11;-3.8
68860;2009;1;28;12;-3.5
68860;2009;1;28;13;-2.6
68860;2009;1;28;14;-2.4
68860;2009;1;28;15;-2.5
68860;2009;1;28;16;-2.4
68860;2009;1;28;17;-2.6
68860;2009;1;28;18;-2.7
68860;2009;1;28;19;-2.4
68860;2009;1;28;20;-2.9
68860;2009;1;28;21;-3.4
68860;2009;1;28;22;-2.7
68860;2009;1;28;23;-2.6
68860;2009;1;28;24;-3.0
68860;2009;1;29;1;-3.5
68860;2009;1;29;2;-3.6
68860;2009;1;29;3;-4.8
68860;2009;1;29;4;-4.5
68860;2009;1;29;5;-5.6
68860;2009;1;29;6;-5.2
68860;2009;1;29;7;-3.2
68860;2009;1;29;8;-3.6
68860;2009;1;29;9;-2.9
68860;2009;1;29;10;-2.8
68860;2009;1;29;11;-3.3
68860;2009;1;29;12;-2.6
68860;2009;1;29;13;-1.4
68860;2009;1;29;14;-1.1
68860;2009;1;29;15;-0.8
68860;2009;1;29;16;-1.9
68860;2009;1;29;17;-2.2
68860;2009;1;29;18;-2.9
68860;2009;1;29;19;-3.0
68860;2009;1;29;20;-3.6
68860;2009;1;29;21;-2.8
68860;2009;1;29;22;-2.9
68860;2009;1;29;23;-3.4
68860;2009;1;29;24;-3.6
68860;2009;1;30;1;-2.6
68860;2009;1;30;2;-2.2
68860;2009;1;30;3;-2.4
68860;2009;1;30;4;-1.9
68860;2009;1;30;5;-2.4
68860;2009;1;30;6;-2.3
68860;2009;1;30;7;-3.4
68860;2009;1;30;8;-3.0
68860;2009;1;30;9;-4.1
68860;2009;1;30;10;-3.7
68860;2009;1;30;11;-3.8
68860;2009;1;30;12;-2.1
68860;2009;1;30;13;-0.7
68860;2009;1;30;14;-0.7
68860;2009;1;30;15;-1.7
68860;2009;1;30;16;-3.1
68860;2009;1;30;17;-2.9
68860;2009;1;30;18;-3.0
68860;2009;1;30;19;-2.4
68860;2009;1;30;20;-3.8
68860;2009;1;30;21;-4.6
