St.no;Year;Mnth;Date;Time(NMT);TA
68860;2012;2;12;12;0.4
68860;2012;2;12;13;0.2
68860;2012;2;12;14;0.2
68860;2012;2;12;15;0.7
68860;2012;2;12;16;0.0
68860;2012;2;12;17;-0.2
68860;2012;2;12;18;0.1
68860;2012;2;12;19;0.2
68860;2012;2;12;20;0.3
68860;2012;2;12;21;0.4
68860;2012;2;12;22;0.4
68860;2012;2;12;23;0.3
68860;2012;2;12;24;0.6
68860;2012;2;13;1;1.1
68860;2012;2;13;2;1.3
68860;2012;2;13;3;0.0
68860;2012;2;13;4;1.1
68860;2012;2;13;5;1.0
68860;2012;2;13;6;1.6
68860;2012;2;13;7;0.2
68860;2012;2;13;8;0.5
68860;2012;2;13;9;0.4
68860;2012;2;13;10;0.7
68860;2012;2;13;11;1.0
68860;2012;2;13;12;1.3
68860;2012;2;13;13;2.0
68860;2012;2;13;14;2.2
68860;2012;2;13;15;2.1
68860;2012;2;13;16;2.0
68860;2012;2;13;17;1.8
68860;2012;2;13;18;1.6
68860;2012;2;13;19;2.9
68860;2012;2;13;20;2.8
68860;2012;2;13;21;2.5
68860;2012;2;13;22;2.7
68860;2012;2;13;23;1.9
68860;2012;2;13;24;2.0
68860;2012;2;14;1;2.5
68860;2012;2;14;2;2.1
68860;2012;2;14;3;1.3
68860;2012;2;14;4;1.1
68860;2012;2;14;5;0.5
68860;2012;2;14;6;0.1
68860;2012;2;14;7;0.3
68860;2012;2;14;8;0.3
68860;2012;2;14;9;0.2
68860;2012;2;14;10;1.4
68860;2012;2;14;11;2.2
68860;2012;2;14;12;2.6
68860;2012;2;14;13;2.9
68860;2012;2;14;14;0.6
68860;2012;2;14;15;0.4
68860;2012;2;14;16;0.4
68860;2012;2;14;17;-0.8
68860;2012;2;14;18;0.1
68860;2012;2;14;19;1.0
68860;2012;2;14;20;1.4
68860;2012;2;14;21;0.4
68860;2012;2;14;22;1.7
68860;2012;2;14;23;2.4
68860;2012;2;14;24;2.1
68860;2012;2;15;1;1.4
68860;2012;2;15;2;1.9
68860;2012;2;15;3;0.9
68860;2012;2;15;4;1.4
68860;2012;2;15;5;0.2
68860;2012;2;15;6;0.4
68860;2012;2;15;7;-0.4
68860;2012;2;15;8;-1.5
68860;2012;2;15;9;-0.6
68860;2012;2;15;10;-0.3
68860;2012;2;15;11;-0.2
68860;2012;2;15;12;0.2
68860;2012;2;15;13;0.2
68860;2012;2;15;14;0.4
68860;2012;2;15;15;-0.3
68860;2012;2;15;16;-0.3
68860;2012;2;15;17;-0.7
68860;2012;2;15;18;-0.7
68860;2012;2;15;19;-1.1
68860;2012;2;15;20;-1.1
68860;2012;2;15;21;-1.0
68860;2012;2;15;22;-0.8
68860;2012;2;15;23;-0.8
68860;2012;2;15;24;-0.7
68860;2012;2;16;1;-0.9
68860;2012;2;16;2;-1.0
68860;2012;2;16;3;-0.9
68860;2012;2;16;4;0.1
68860;2012;2;16;5;1.0
68860;2012;2;16;6;1.6
68860;2012;2;16;7;2.1
68860;2012;2;16;8;2.7
68860;2012;2;16;9;2.8
68860;2012;2;16;10;3.3
68860;2012;2;16;11;3.2
68860;2012;2;16;12;3.6
68860;2012;2;16;13;3.1
68860;2012;2;16;14;3.3
68860;2012;2;16;15;3.0
68860;2012;2;16;16;2.4
68860;2012;2;16;17;2.0
68860;2012;2;16;18;1.6
68860;2012;2;16;19;1.6
68860;2012;2;16;20;1.4
68860;2012;2;16;21;1.9
68860;2012;2;16;22;2.3
68860;2012;2;16;23;0.7
68860;2012;2;16;24;0.5
68860;2012;2;17;1;0.2
68860;2012;2;17;2;0.1
68860;2012;2;17;3;0.2
68860;2012;2;17;4;0.0
68860;2012;2;17;5;-0.3
68860;2012;2;17;6;-0.2
68860;2012;2;17;7;-0.4
68860;2012;2;17;8;-0.8
68860;2012;2;17;9;-0.4
68860;2012;2;17;10;-0.3
68860;2012;2;17;11;-0.3
68860;2012;2;17;12;0.2
68860;2012;2;17;13;0.5
68860;2012;2;17;14;0.1
68860;2012;2;17;15;0.2
68860;2012;2;17;16;0.8
68860;2012;2;17;17;1.4
68860;2012;2;17;18;1.4
68860;2012;2;17;19;1.3
68860;2012;2;17;20;0.9
68860;2012;2;17;21;1.1
68860;2012;2;17;22;1.5
68860;2012;2;17;23;1.7
